iter	Logloss
0	0.671935164
1	0.6559024323
2	0.6334979911
3	0.6101933782
4	0.59400449
5	0.5755944413
6	0.5569400867
7	0.5456358219
8	0.5365048315
9	0.5273459689
10	0.5211698204
11	0.5065603745
12	0.493724376
13	0.4799372615
14	0.4741003655
15	0.4646363163
16	0.4511688521
17	0.4445740261
18	0.4368528681
19	0.4314457114
20	0.4198636569
21	0.4141358921
22	0.4083110321
23	0.4056082859
24	0.4014966562
25	0.3959991065
26	0.3877998726
27	0.3828081814
28	0.3773037521
29	0.3710335389
30	0.3653137346
31	0.3633136669
32	0.3583498923
33	0.3544771794
34	0.3534675615
35	0.3485746586
36	0.3452811985
37	0.3427611891
38	0.3369372635
39	0.3352783089
40	0.3311263833
41	0.3274535623
42	0.3240012348
43	0.3216959103
44	0.3186165819
45	0.3161378411
46	0.3149512508
47	0.3111474293
48	0.3094846778
49	0.3072842839
50	0.3051990154
51	0.3017775306
52	0.2990563364
53	0.2958120968
54	0.2937784902
55	0.2903539809
56	0.2886819796
57	0.2869676161
58	0.2848289554
59	0.283368625
60	0.2817964523
61	0.2781744833
62	0.2763352732
63	0.2744174649
64	0.2732551
65	0.272395813
66	0.2701562299
67	0.2681047511
68	0.2668041968
69	0.2647679755
70	0.2638032731
71	0.2619115716
72	0.2607488737
73	0.2597470056
74	0.2571496441
75	0.2558770352
