iter	Passed	Remaining
0	1	86
1	2	75
2	2	69
3	3	67
4	4	67
5	5	65
6	6	62
7	7	60
8	7	59
9	8	57
10	9	55
11	10	54
12	10	53
13	11	51
14	12	50
15	13	49
16	14	48
17	15	48
18	16	48
19	16	47
20	17	47
21	18	46
22	19	45
23	20	44
24	21	44
25	22	43
26	23	43
27	25	43
28	26	42
29	27	42
30	28	41
31	29	40
32	30	39
33	31	39
34	32	37
35	33	36
36	34	36
37	35	35
38	36	34
39	37	33
40	38	33
41	39	32
42	41	31
43	42	30
44	43	29
45	44	29
46	45	28
47	46	27
48	47	26
49	48	25
50	49	24
51	50	23
52	51	22
53	52	21
54	53	20
55	54	19
56	55	18
57	56	17
58	57	16
59	58	15
60	59	14
61	60	13
62	61	12
63	63	11
64	64	10
65	65	9
66	66	8
67	67	7
68	69	7
69	70	6
70	71	5
71	72	4
72	73	3
73	74	2
74	75	1
75	76	0
